year,office,district,candidate,party,votes,percentage
2014,State Senate,1,Data to be fetched,Data to be fetched,0,0.0
2014,State Senate,2,Data to be fetched,Data to be fetched,0,0.0
2014,State Senate,3,Data to be fetched,Data to be fetched,0,0.0
2014,State Senate,4,Data to be fetched,Data to be fetched,0,0.0
2014,State Senate,5,Data to be fetched,Data to be fetched,0,0.0
2014,State Senate,6,Data to be fetched,Data to be fetched,0,0.0
2014,State Senate,7,Data to be fetched,Data to be fetched,0,0.0
2014,State Senate,8,Data to be fetched,Data to be fetched,0,0.0
2014,State Senate,9,Data to be fetched,Data to be fetched,0,0.0
2014,State Senate,10,Data to be fetched,Data to be fetched,0,0.0
2014,State Senate,11,Data to be fetched,Data to be fetched,0,0.0
2014,State Senate,12,Data to be fetched,Data to be fetched,0,0.0
2014,State Senate,13,Data to be fetched,Data to be fetched,0,0.0
2014,State Senate,14,Data to be fetched,Data to be fetched,0,0.0
2014,State Senate,15,Data to be fetched,Data to be fetched,0,0.0
2014,State Senate,16,Data to be fetched,Data to be fetched,0,0.0
2014,State Senate,17,Data to be fetched,Data to be fetched,0,0.0
2014,State Senate,18,Data to be fetched,Data to be fetched,0,0.0
2014,State Senate,19,Data to be fetched,Data to be fetched,0,0.0
2014,State Senate,20,Data to be fetched,Data to be fetched,0,0.0
2014,State Senate,21,Data to be fetched,Data to be fetched,0,0.0
2014,State Senate,22,Data to be fetched,Data to be fetched,0,0.0
2014,State Senate,23,Data to be fetched,Data to be fetched,0,0.0
2014,State Senate,24,Data to be fetched,Data to be fetched,0,0.0
2014,State Senate,25,Data to be fetched,Data to be fetched,0,0.0
2014,State Senate,26,Data to be fetched,Data to be fetched,0,0.0
2014,State Senate,27,Data to be fetched,Data to be fetched,0,0.0
2014,State Senate,28,Data to be fetched,Data to be fetched,0,0.0
2014,State Senate,29,Data to be fetched,Data to be fetched,0,0.0
2014,State Senate,30,Data to be fetched,Data to be fetched,0,0.0
2014,State Senate,31,Data to be fetched,Data to be fetched,0,0.0
2016,State Senate,1,Data to be fetched,Data to be fetched,0,0.0
2016,State Senate,2,Data to be fetched,Data to be fetched,0,0.0
2016,State Senate,3,Data to be fetched,Data to be fetched,0,0.0
2016,State Senate,4,Data to be fetched,Data to be fetched,0,0.0
2016,State Senate,5,Data to be fetched,Data to be fetched,0,0.0
2016,State Senate,6,Data to be fetched,Data to be fetched,0,0.0
2016,State Senate,7,Data to be fetched,Data to be fetched,0,0.0
2016,State Senate,8,Data to be fetched,Data to be fetched,0,0.0
2016,State Senate,9,Data to be fetched,Data to be fetched,0,0.0
2016,State Senate,10,Data to be fetched,Data to be fetched,0,0.0
2016,State Senate,11,Data to be fetched,Data to be fetched,0,0.0
2016,State Senate,12,Data to be fetched,Data to be fetched,0,0.0
2016,State Senate,13,Data to be fetched,Data to be fetched,0,0.0
2016,State Senate,14,Data to be fetched,Data to be fetched,0,0.0
2016,State Senate,15,Data to be fetched,Data to be fetched,0,0.0
2016,State Senate,16,Data to be fetched,Data to be fetched,0,0.0
2016,State Senate,17,Data to be fetched,Data to be fetched,0,0.0
2016,State Senate,18,Data to be fetched,Data to be fetched,0,0.0
2016,State Senate,19,Data to be fetched,Data to be fetched,0,0.0
2016,State Senate,20,Data to be fetched,Data to be fetched,0,0.0
2016,State Senate,21,Data to be fetched,Data to be fetched,0,0.0
2016,State Senate,22,Data to be fetched,Data to be fetched,0,0.0
2016,State Senate,23,Data to be fetched,Data to be fetched,0,0.0
2016,State Senate,24,Data to be fetched,Data to be fetched,0,0.0
2016,State Senate,25,Data to be fetched,Data to be fetched,0,0.0
2016,State Senate,26,Data to be fetched,Data to be fetched,0,0.0
2016,State Senate,27,Data to be fetched,Data to be fetched,0,0.0
2016,State Senate,28,Data to be fetched,Data to be fetched,0,0.0
2016,State Senate,29,Data to be fetched,Data to be fetched,0,0.0
2016,State Senate,30,Data to be fetched,Data to be fetched,0,0.0
2016,State Senate,31,Data to be fetched,Data to be fetched,0,0.0
2018,State Senate,1,Data to be fetched,Data to be fetched,0,0.0
2018,State Senate,2,Data to be fetched,Data to be fetched,0,0.0
2018,State Senate,3,Data to be fetched,Data to be fetched,0,0.0
2018,State Senate,4,Data to be fetched,Data to be fetched,0,0.0
2018,State Senate,5,Data to be fetched,Data to be fetched,0,0.0
2018,State Senate,6,Data to be fetched,Data to be fetched,0,0.0
2018,State Senate,7,Data to be fetched,Data to be fetched,0,0.0
2018,State Senate,8,Data to be fetched,Data to be fetched,0,0.0
2018,State Senate,9,Data to be fetched,Data to be fetched,0,0.0
2018,State Senate,10,Data to be fetched,Data to be fetched,0,0.0
2018,State Senate,11,Data to be fetched,Data to be fetched,0,0.0
2018,State Senate,12,Data to be fetched,Data to be fetched,0,0.0
2018,State Senate,13,Data to be fetched,Data to be fetched,0,0.0
2018,State Senate,14,Data to be fetched,Data to be fetched,0,0.0
2018,State Senate,15,Data to be fetched,Data to be fetched,0,0.0
2018,State Senate,16,Data to be fetched,Data to be fetched,0,0.0
2018,State Senate,17,Data to be fetched,Data to be fetched,0,0.0
2018,State Senate,18,Data to be fetched,Data to be fetched,0,0.0
2018,State Senate,19,Data to be fetched,Data to be fetched,0,0.0
2018,State Senate,20,Data to be fetched,Data to be fetched,0,0.0
2018,State Senate,21,Data to be fetched,Data to be fetched,0,0.0
2018,State Senate,22,Data to be fetched,Data to be fetched,0,0.0
2018,State Senate,23,Data to be fetched,Data to be fetched,0,0.0
2018,State Senate,24,Data to be fetched,Data to be fetched,0,0.0
2018,State Senate,25,Data to be fetched,Data to be fetched,0,0.0
2018,State Senate,26,Data to be fetched,Data to be fetched,0,0.0
2018,State Senate,27,Data to be fetched,Data to be fetched,0,0.0
2018,State Senate,28,Data to be fetched,Data to be fetched,0,0.0
2018,State Senate,29,Data to be fetched,Data to be fetched,0,0.0
2018,State Senate,30,Data to be fetched,Data to be fetched,0,0.0
2018,State Senate,31,Data to be fetched,Data to be fetched,0,0.0
2020,State Senate,1,Data to be fetched,Data to be fetched,0,0.0
2020,State Senate,2,Data to be fetched,Data to be fetched,0,0.0
2020,State Senate,3,Data to be fetched,Data to be fetched,0,0.0
2020,State Senate,4,Data to be fetched,Data to be fetched,0,0.0
2020,State Senate,5,Data to be fetched,Data to be fetched,0,0.0
2020,State Senate,6,Data to be fetched,Data to be fetched,0,0.0
2020,State Senate,7,Data to be fetched,Data to be fetched,0,0.0
2020,State Senate,8,Data to be fetched,Data to be fetched,0,0.0
2020,State Senate,9,Data to be fetched,Data to be fetched,0,0.0
2020,State Senate,10,Data to be fetched,Data to be fetched,0,0.0
2020,State Senate,11,Data to be fetched,Data to be fetched,0,0.0
2020,State Senate,12,Data to be fetched,Data to be fetched,0,0.0
2020,State Senate,13,Data to be fetched,Data to be fetched,0,0.0
2020,State Senate,14,Data to be fetched,Data to be fetched,0,0.0
2020,State Senate,15,Data to be fetched,Data to be fetched,0,0.0
2020,State Senate,16,Data to be fetched,Data to be fetched,0,0.0
2020,State Senate,17,Data to be fetched,Data to be fetched,0,0.0
2020,State Senate,18,Data to be fetched,Data to be fetched,0,0.0
2020,State Senate,19,Data to be fetched,Data to be fetched,0,0.0
2020,State Senate,20,Data to be fetched,Data to be fetched,0,0.0
2020,State Senate,21,Data to be fetched,Data to be fetched,0,0.0
2020,State Senate,22,Data to be fetched,Data to be fetched,0,0.0
2020,State Senate,23,Data to be fetched,Data to be fetched,0,0.0
2020,State Senate,24,Data to be fetched,Data to be fetched,0,0.0
2020,State Senate,25,Data to be fetched,Data to be fetched,0,0.0
2020,State Senate,26,Data to be fetched,Data to be fetched,0,0.0
2020,State Senate,27,Data to be fetched,Data to be fetched,0,0.0
2020,State Senate,28,Data to be fetched,Data to be fetched,0,0.0
2020,State Senate,29,Data to be fetched,Data to be fetched,0,0.0
2020,State Senate,30,Data to be fetched,Data to be fetched,0,0.0
2020,State Senate,31,Data to be fetched,Data to be fetched,0,0.0
2022,State Senate,1,Data to be fetched,Data to be fetched,0,0.0
2022,State Senate,2,Data to be fetched,Data to be fetched,0,0.0
2022,State Senate,3,Data to be fetched,Data to be fetched,0,0.0
2022,State Senate,4,Data to be fetched,Data to be fetched,0,0.0
2022,State Senate,5,Data to be fetched,Data to be fetched,0,0.0
2022,State Senate,6,Data to be fetched,Data to be fetched,0,0.0
2022,State Senate,7,Data to be fetched,Data to be fetched,0,0.0
2022,State Senate,8,Data to be fetched,Data to be fetched,0,0.0
2022,State Senate,9,Data to be fetched,Data to be fetched,0,0.0
2022,State Senate,10,Data to be fetched,Data to be fetched,0,0.0
2022,State Senate,11,Data to be fetched,Data to be fetched,0,0.0
2022,State Senate,12,Data to be fetched,Data to be fetched,0,0.0
2022,State Senate,13,Data to be fetched,Data to be fetched,0,0.0
2022,State Senate,14,Data to be fetched,Data to be fetched,0,0.0
2022,State Senate,15,Data to be fetched,Data to be fetched,0,0.0
2022,State Senate,16,Data to be fetched,Data to be fetched,0,0.0
2022,State Senate,17,Data to be fetched,Data to be fetched,0,0.0
2022,State Senate,18,Data to be fetched,Data to be fetched,0,0.0
2022,State Senate,19,Data to be fetched,Data to be fetched,0,0.0
2022,State Senate,20,Data to be fetched,Data to be fetched,0,0.0
2022,State Senate,21,Data to be fetched,Data to be fetched,0,0.0
2022,State Senate,22,Data to be fetched,Data to be fetched,0,0.0
2022,State Senate,23,Data to be fetched,Data to be fetched,0,0.0
2022,State Senate,24,Data to be fetched,Data to be fetched,0,0.0
2022,State Senate,25,Data to be fetched,Data to be fetched,0,0.0
2022,State Senate,26,Data to be fetched,Data to be fetched,0,0.0
2022,State Senate,27,Data to be fetched,Data to be fetched,0,0.0
2022,State Senate,28,Data to be fetched,Data to be fetched,0,0.0
2022,State Senate,29,Data to be fetched,Data to be fetched,0,0.0
2022,State Senate,30,Data to be fetched,Data to be fetched,0,0.0
2022,State Senate,31,Data to be fetched,Data to be fetched,0,0.0
2024,State Senate,1,Data to be fetched,Data to be fetched,0,0.0
2024,State Senate,2,Data to be fetched,Data to be fetched,0,0.0
2024,State Senate,3,Data to be fetched,Data to be fetched,0,0.0
2024,State Senate,4,Data to be fetched,Data to be fetched,0,0.0
2024,State Senate,5,Data to be fetched,Data to be fetched,0,0.0
2024,State Senate,6,Data to be fetched,Data to be fetched,0,0.0
2024,State Senate,7,Data to be fetched,Data to be fetched,0,0.0
2024,State Senate,8,Data to be fetched,Data to be fetched,0,0.0
2024,State Senate,9,Data to be fetched,Data to be fetched,0,0.0
2024,State Senate,10,Data to be fetched,Data to be fetched,0,0.0
2024,State Senate,11,Data to be fetched,Data to be fetched,0,0.0
2024,State Senate,12,Data to be fetched,Data to be fetched,0,0.0
2024,State Senate,13,Data to be fetched,Data to be fetched,0,0.0
2024,State Senate,14,Data to be fetched,Data to be fetched,0,0.0
2024,State Senate,15,Data to be fetched,Data to be fetched,0,0.0
2024,State Senate,16,Data to be fetched,Data to be fetched,0,0.0
2024,State Senate,17,Data to be fetched,Data to be fetched,0,0.0
2024,State Senate,18,Data to be fetched,Data to be fetched,0,0.0
2024,State Senate,19,Data to be fetched,Data to be fetched,0,0.0
2024,State Senate,20,Data to be fetched,Data to be fetched,0,0.0
2024,State Senate,21,Data to be fetched,Data to be fetched,0,0.0
2024,State Senate,22,Data to be fetched,Data to be fetched,0,0.0
2024,State Senate,23,Data to be fetched,Data to be fetched,0,0.0
2024,State Senate,24,Data to be fetched,Data to be fetched,0,0.0
2024,State Senate,25,Data to be fetched,Data to be fetched,0,0.0
2024,State Senate,26,Data to be fetched,Data to be fetched,0,0.0
2024,State Senate,27,Data to be fetched,Data to be fetched,0,0.0
2024,State Senate,28,Data to be fetched,Data to be fetched,0,0.0
2024,State Senate,29,Data to be fetched,Data to be fetched,0,0.0
2024,State Senate,30,Data to be fetched,Data to be fetched,0,0.0
2024,State Senate,31,Data to be fetched,Data to be fetched,0,0.0
